Word,Pronunciation
承繼,sing gai
乘機,sing gei
成功,sing gung
成功感,sing gung gam
成功率,sing gung leut
成果,sing gwo
乘客,sing haak
成效,sing haau
誠懇,sing han
乘虛,sing heui
城鄉,sing hoeng
成因,sing jan
成人,sing jan
繩之以法,sing ji yi faat
誠意,sing ji
成績單,sing jik daan
承認,sing jing
成員,sing jyun
成規,sing kwai
成群,sing kwan
成立,sing laap
成文法,sing man faat
成名,sing ming
成名作,sing ming jok
成年,sing nin
承諾,sing nok
成皮,sing pei
成倍,sing pui
誠心,sing sam
誠實,sing sat
承受,sing sau
成雙,sing seung
成雙成對,sing seung sing deui
城市大學,sing si daai hok
成熟,sing suk
成圖,sing tou
成為,sing wai
成為主流,sing wai jyu lau
成人世界,sing yan sai gaai
成衣,sing yi
成真,sing zan
成就,sing zau
成績表,sing zik biu
成長,sing zoeng
盛情,sing cing
盛大,sing daai
盛放,sing fong
剩下,sing haa
盛宴,sing jin
剩餘,sing jyu
盛名,sing ming
盛怒,sing nou
盛惠,sing wai
盛會,sing wui
涉,sip
涉嫌,sip jim
攝影,sip jing
涉及,sip kap
涉及到,sip kap dou
攝氏,sip si
攝影器材,sip ying hei choi
攝灶罅,sip zou laa
泄,sit
泄漏,sit lau
洩漏,sit lau
洩怒,sit nou
竊笑,sit siu
舌,sit
蝕底,sit dai
舌戰,sit jin
燒,siu
蕭,siu
消,siu
瀟,siu
銷,siu
宵,siu
消除,siu ceoi
燒到,siu dou
消毒,siu duk
消化,siu faa
消費,siu fai
消費者,siu fai ze
消防,siu fong
消防車,siu fong ce
消防員,siu fong jyun
燒雞,siu gai
消極,siu gik
消極地,siu gik dei
燒烤,siu haau
燒香,siu hoeng
消耗,siu hou
宵夜,siu je*
燒紙,siu ji
逍遙,siu jiu
燒肉,siu juk
燒乳鴿,siu jyu gaap
燒了,siu liu
燒埋,siu maai
消磨,siu mo
燒燶,siu nung
銷案,siu on
瀟灑,siu saa
消失,siu sat
銷售,siu sau
銷售量,siu sau leung
燒死,siu sei
消息,siu sik
消息來源,siu sik loi yun
蕭條,siu tiu
銷毀,siu wai
消委會,siu wai wui
消魂,siu wan
燒酒,siu zau
小,siu
小巴,siu baa
小白臉,siu baak lim
少不了,siu bat liu
小便,siu bin
小報,siu bou
小本,siu bun
少錢,siu chin
小打小鬧,siu da siu naau
小弟,siu dai
少啲,siu di
小店,siu dim
小販,siu faan*
小伙子,siu fo zi
小家,siu gaa
小計,siu gai
小技,siu gei
小孩,siu haai
小孩子,siu haai zi
小器,siu hei
小氣,siu hei
小吃,siu hek
小學,siu hok
小學雞,siu hok gai
小人,siu jan*
小意思,siu ji si
小兒,siu ji
小姨,siu ji
小型,siu jing
小型企業,siu jing kei jip
小節,siu jit
少給,siu kap
小喇叭,siu laa baa
小林,siu lam
小輪,siu leon
小量,siu loeng
小明,siu ming
小妹,siu mui
小門,siu mun
少男,siu naam
小你,siu nei
小女,siu neui
少尿,siu niu
小朋友,siu pang jau
小心駛得萬年船,siu sam sai dak maan nin syun
小商販,siu seung faan
小時,siu si
小事,siu si
小食,siu sik
小姓,siu sing
小小,siu siu
少少,siu siu
小商人,siu soeng jan
少數,siu sou
小數,siu sou
小說,siu syut
小攤,siu taan
小提琴,siu tai kam
小偷,siu tau
小童,siu tung
少於,siu yu
小姐,siu ze
小組,siu zou
笑,siu
嘯,siu
笑吟吟,siu {jam ngam} {jam ngam}
少東,siu dung
笑哈哈,siu haa haa
少爺,siu je
笑容,siu jung
笑騎騎,siu ke ke
少林寺,siu lam zi*
笑臉,siu lim
少奶,siu naai
笑納,siu naap
少女,siu neoi
少年,siu nin
笑片,siu pin*
笑笑口,siu siu hau
笑話,siu waa*
笑意,siu yi
韶華,siu waa
肇,siu
兆,siu
紹,siu
肇慶,siu hing
梳,so
唆,so
梭,so
蔬,so
蔬菜,so coi
梳打,so daa
梳化,so faa*
疏忽,so fat
疏忽職守,so fat jik sau
梳頭,so tau
疏通,so tung
所,so
鎖,so
瑣,so
所得,so dak
鎖定,so ding
所見,so gin
所限,so haan
所有的,so jau dik
所有人,so jau jan
所知,so ji
所指,so ji
所以,so ji
所料,so liu
鎖門,so mun
瑣碎,so seui
所想,so seung
所思,so si
鎖匙,so si
瑣事,so si
所為,so wai
所謂,so wai
所願,so yun
所在,so zoi
傻,so
傻女,so {neoi neoi}
傻瓜,so gwaa
傻人,so jan
傻佬,so lou
傻妹,so mui*
傻婆,so po*
傻事,so si
傻頭傻腦,so tau so nou
傻話,so wa
傻仔,so zai
傻豬,so zyu
削減,soek gaam
削弱,soek joek
霜,soeng
雙,soeng
箱,soeng
商,soeng
商品,soeng ban
相比,soeng bei
相差,soeng caa
傷殘,soeng caan
雙親,soeng can
相似,soeng ci
相稱,soeng cing
商場,soeng coeng
雙重,soeng cung
相處,soeng cyu
相傳,soeng cyun
相等,soeng dang
商店,soeng dim
相當,soeng dong
商販,soeng faan
雙飛,soeng fei
傷風,soeng fung
相隔,soeng gaak
相繼,soeng gai
傷感,soeng gam
相近,soeng gan
相見,soeng gin
相干,soeng gon
相關,soeng gwaan
傷痕,soeng han
傷口,soeng hau
傷害,soeng hoi
商人,soeng jan
相宜,soeng ji
相與,soeng jyu
相遇,soeng jyu
相距,soeng keoi
商量,soeng loeng
雙眼,soeng ngaan
相愛,soeng oi
傷勢,soeng sai
相信,soeng seon
相識,soeng sik
相睇,soeng tai
商討,soeng tou
相同,soeng tung
相互,soeng wu
相會,soeng wui
相撞,soeng zong
想,soeng
想,soeng
想,soeng
想起,soeng hei
賞月,soeng jyut*
賞識,soeng sik
想像,soeng zoeng
想象,soeng zoeng
相片,soeng pin*
相簿,soeng* bou*
相機,soeng/* gei
常,soeng
償,soeng
常用,soeng jung
嘗試,soeng si
常常,soeng soeng
上班,soeng baan
上車,soeng ce
上前,soeng cin
上朝,soeng ciu
上菜,soeng coi
上床,soeng cong
上啲,soeng di
上電,soeng din
上當,soeng dong
上街,soeng gaai
上鏡,soeng geng
上工,soeng gung
上去,soeng heoi
上學,soeng hok
上演,soeng jin
上契,soeng kai
上嚟,soeng lai
上樓,soeng lau
上來,soeng lei/lai/loi
上落,soeng lok
上路,soeng lou ;soeng lou
上馬,soeng maa
上網,soeng mong
上腦,soeng nou
上山,soeng saan
上市,soeng si
上上,soeng soeng
上台,soeng toi
上堂,soeng tong
上位,soeng wai*
上陣,soeng zan
上陣不離父子兵,soeng zan bat lei fu zi bing
尚且,soeng {ce zeoi}
上邊,soeng bin*; soeng bin
上便,soeng bin
上層,soeng cang
上次,soeng ci
上帝,soeng dai
上下,soeng haa*; soeng haa
上海,soeng hoi
上空,soeng hung
上一個,soeng jat go
上游,soeng jau
上面,soeng min
上午,soeng ng
上年,soeng nin*
上升,soeng sing
上星期,soeng sing kei
上相,soeng soeng
上訴,soeng sou
上頭,soeng tau
上天,soeng tin
上晝,soeng zau
上進,soeng zeon
腮,soi
索,sok
嗍氣,sok hei
索油,sok jau
索性,sok sing
桑,song
喪禮,song lai
桑拿,song naa
爽快,song faai
爽利,song lei
爽手,song sau
喪氣,song hei
喪失,song sat
喪失了,song sat liu
蘇,sou
鬚,sou
穌,sou
騷動,sou dung
蘇格蘭,sou gaak laan
蘇蝦,sou haa
蘇蝦仔,sou haa zai
騷擾,sou jiu*
嫂,sou
數清,sou ching
數點,sou dim
數過,sou gwo
嫂子,sou zi
素,sou
訴,sou
掃把,sou baa
數不盡,sou bat jeun
掃除,sou ceoi
掃地,sou dei
訴法院,sou faat yun
訴苦,sou fu
塑膠,sou gaau
數據,sou geoi
掃興,sou hing
數學,sou hok
數周,sou jau
塑造成,sou jou sing
數量,sou loeng
素來,sou loi
數碼化,sou ma fa
數碼港,sou ma gong
數碼,sou maa
數萬,sou maan
數目,sou muk
數十,sou sap
數十個,sou sap go
數人,sou yan
數字,sou zi
塑造,sou zou
訴訟,sou zung
叔,suk
縮,suk
粟,suk
縮數,suk {sou sou sok}
叔伯,suk baak
宿敵,suk dik
縮短,suk dyun
縮骨,suk gwat
縮開,suk hoi
粟米,suk mai
縮沙,suk saa
宿舍,suk se
縮水,suk seoi
叔叔,suk suk
熟,suk
屬,suk
贖,suk
熟菜,suk choi
熟地,suk dei
屬下,suk haa
熟客,suk haak
熟口面,suk hau min
熟口熟面,suk hau suk min
熟人,suk jan
熟字,suk ji
屬於,suk jyu
熟慮,suk leui
熟練,suk lin
熟路,suk lou
熟面口,suk min hau
熟稔,suk nam
熟手,suk sau
熟睡,suk seoi
熟悉,suk sik
熟悉的,suk sik dik
鬆,sung
鬆動,sung dung
鬆骨,sung gwat
鬆人,sung jan
從容,sung jung
聳肩,sung gin
送,sung
餸,sung
送到,sung dou
送花,sung fa
送返,sung faan
送貨,sung fo
送行,sung hang
送去,sung heoi
送走,sung jau
送羊入虎口,sung joeng jap fu hau
送禮,sung lai
送死,sung sei
送上,sung seung
送人,sung yan
送入,sung yap
崇,sung
崇拜,sung baai
崇高,sung gou
書,syu
輸,syu
抒,syu
舒,syu
書包,syu baau
書本,syu bun
輸出,syu ceot
舒暢,syu coeng
書店,syu dim
輸賭,syu dou
書法,syu faat
抒發,syu faat
書房,syu fong*
舒服,syu fuk
書局,syu guk*
書櫃,syu gwai
輸入,syu jap
書友,syu jau*
舒適,syu sik
輸蝕,syu sit
舒舒服服,syu syu fuk fuk
書檯,syu toi*
輸贏,syu yeng
書籍,syu zik
鼠,syu
暑,syu
暑假,syu gaa
暑期,syu kei
恕,syu
殊,syu
薯,syu
薯片,syu pin*
薯條,syu tiu*
薯仔,syu zai
樹,syu
豎,syu
樹大有枯枝,syu daai {jau jau} fu zi
樹蔭,syu jam
樹林,syu lam
樹皮,syu pei
樹枝,syu zi
孫,syun
宣,syun
酸,syun
宣佈,syun bou
宣傳片,syun chyun pin
宣傳,syun cyun
宣告,syun gou
宣言,syun jin
宣揚,syun joeng
孫中山,syun jung saan
酸味,syun mei
孫女,syun neoi*
孫悟空,syun ng hung
孫仔,syun zai
選,syun
損,syun
選出,syun ceot
選到,syun dou
選舉,syun geoi
選舉資格,syun geui ji gaak
選舉權,syun geui kyun
選舉事務處,syun geui si mou chyu
損害,syun hoi
選民,syun man
選票,syun piu
損失,syun sat
選手,syun sau
損壞,syun waai
選委,syun wai
算,syun
算啦,syun {laa laa laa}
算不得,syun bat dak
算不了,syun bat liu
算不上,syun bat seung
算出,syun cheut
算錯,syun cho
算法,syun faat
算計,syun gai
算係,syun hai
算了,syun liu
算你好彩,syun nei hou coi
算盤,syun pun
算數,syun sou
算話,syun wa
船,syun
旋,syun
漩,syun
船上,syun {soeng soeng}
船到橋頭自然直,syun dou kiu tau zi jin zik
船隻,syun zek
雪,syut
說白了,syut baak liu
說不出,syut bat cheut
雪碧,syut bik
說出口,syut cheut hau
雪藏,syut cong
雪花,syut faa
雪花膏,syut faa gou
說服力,syut fuk lik
雪茄,syut gaa
說教,syut gaau
雪糕,syut gou
雪櫃,syut gwai
說客,syut haak
說去,syut heui
雪人,syut jan
說明了,syut ming liu
說夢話,syut mung wa
說說,syut syut
說話了,syut wa liu
說話,syut waa
他,ta
她,ta
他國,ta gwok
他媽,ta ma
它,taa
他的,taa dik
她的,taa dik
他人,taa jan
他們,taa mun
她們,taa mun
他條,taa tiu
他朝,taa ziu
呔,taai
太,taai
態,taai
泰,taai
太保,taai bou
太倉,taai chong
太大,taai daai
太多了,taai do liu
貸款,taai fun
太極拳,taai gik kyun
太過,taai gwo
太過份,taai gwo fan
泰國,taai gwok
太后,taai hau
太虛,taai heui
太空,taai hung
太空人,taai hung jan
太陽,taai joeng
太陽鏡,taai joeng geng*
太忙,taai mong
太平,taai ping
泰山,taai saan
太少,taai siu
太太,taai taai*
太陽穴,taai yeung yut
泰然面對,taai yin min deui
太熱,taai yit
太子,taai zi
太子爺,taai zi je
軚,taai
貪,taam
貪得意,taam dak ji
貪利,taam lei
貪心,taam sam
貪污,taam wu
探,taam
探班,taam baan
探病,taam beng
探親,taam can
探親訪友,taam chan fong yau
探究,taam gau
探子,taam ji
探望,taam mong
探索,taam saak
探頭,taam tau
探聽,taam teng
探討,taam tou
探長,taam zoeng
談,taam
譚,taam
痰,taam
燂,taam
談情,taam cing
談婚論嫁,taam fan leun ga
痰罐,taam gun
談及,taam kap
談論,taam leun
談判,taam pun
談笑,taam siu
談談,taam taam
談天,taam tin
談話,taam waa
攤,taan
灘,taan
攤薄,taan bok
攤凍,taan dung
攤牌,taan paai*
攤位,taan wai [taan wai]
毯,taan
坦,taan
袒,taan
坦白,taan baak
坦克,taan hak
坦尼,taan nei
坦誠,taan sing
嘆,taan
歎,taan
炭,taan
歎世界,taan sai gaai
嘆世界,taan sai gaai
彈出,taan cheut
彈結他,taan git taa
彈琴,taan kam
塔,taap
塌,taap
撻Q,taat qiu
梯,tai
睇,tai
體,tai
睇病,tai beng
睇清楚,tai cing co
睇場,tai coeng
體操,tai cou
體重,tai cung
睇穿,tai cyun
睇低,tai dai
睇到,tai dou*
體檢,tai gim
睇見,tai gin
睇過先,tai gwo sin
睇下,tai haa
睇吓,tai haa
體系,tai hai
睇起,tai hei
睇戲,tai hei
體驗,tai jim
體現,tai jin
體育,tai juk
體育館,tai juk gun
睇嚟,tai lei
體力,tai lik
體諒,tai loeng
睇落,tai lok
睇路,tai lou
體面,tai min
睇啱,tai ngaam
體外,tai ngoi
體內,tai noi
睇怕,tai paa
睇死,tai sei
睇水,tai seoi
睇小,tai siu
睇相,tai soeng
睇相佬,tai soeng lou
睇書,tai syu
睇睇,tai tai
體貼,tai tip
體貼地,tai tip dei
體貼入微,tai tip yap mei
體位,tai wai
體會到,tai wui dou
體會,tai wui
體液,tai yik
體驗到,tai yim dou
體育版,tai yuk baan
體育項目,tai yuk hong muk
體育頻道,tai yuk pan dou
睇中,tai zung
睇住,tai zyu
替,tai
剃,tai
涕,tai
替工,tai gung
涕零,tai ling
剃面,tai min
替死,tai sei
替死鬼,tai sei gwai
提,tai
題,tai
啼,tai
蹄,tai
提出,tai ceot
提出問題,tai cheut man tai
提前舉行,tai chin geui hang
提前,tai cin
提倡,tai coeng / tai coeng
題材,tai coi
提多,tai do
提貨,tai fo
提防,tai fong
提款,tai fun
提交,tai gaau
提高,tai gou
提高效率,tai gou haau leut
提供,tai gung
提起,tai hei
提議,tai ji
提琴,tai kam
提及,tai kap
提攜,tai kwai
提名,tai ming
題目,tai muk
提心,tai sam
提醒,tai seng
提示,tai si
提升,tai sing
啼笑皆非,tai siu gaai fei
醍醐,tai wu
提子,tai zi
提早,tai zou
氹氹轉,tam tam zyun
吞,tan
吞拿,tan na
吞食,tan sik
吞吞吐吐,tan tan tou tou
吞吐,tan tou
藤,tang
偷,tau
偷?,tau
偷雞,tau gai
偷工減料,tau gung gaam liu*
偷看,tau hon
偷龍轉鳳,tau lung zyun fung
偷生,tau saang
偷食,tau sik
偷睇,tau tai
偷偷,tau tau
偷偷地走,tau tau dei jau
偷偷摸摸,tau tau mo mo
偷聽,tau teng
偷運,tau wan
透,tau
透徹,tau cit
透過,tau gwo
透氣,tau hei
透露,tau lou
透唔到氣,tau m {dou dou*} hei
透明,tau ming
透透,tau tau
透透氣,tau tau hei
頭,tau
投,tau
頭赤,tau cek
頭大,tau daai
頭等,tau dang
頭等艙,tau dang chong
頭兜,tau dau
頭頂,tau ding [tau deng]
投到,tau dou
頭道,tau dou
頭髮,tau faat
投機,tau gei
頭蓋,tau goi
投稿,tau gou
頭痕,tau han
投向,tau heung
頭殼,tau hok
投降,tau hong
投入,tau jap
投靠,tau kaau
頭馬,tau maa
頭面,tau min
頭腦,tau nou
頭皮,tau pei
投票,tau piu
投身,tau san
投身於,tau san yu
頭先,tau sin
投誠,tau sing
頭條,tau tiu
頭痛,tau tung
頭暈,tau wan
頭暈眼花,tau wan ngaan fa
頭暈暈,tau wan wan
投資,tau zi
頭獎,tau zoeng
踢,tek
踢爆,tek baau
踢波,tek bo
廳,teng
聽清,teng ching
聽清楚,teng ching cho
聽錯,teng cho
聽得清,teng dak ching
聽得懂,teng dak dung
聽到,teng dou*
聽見,teng gin
聽講,teng gong
聽過,teng gwo
聽者,teng je
聽證會,teng jing wui
聽唔明,teng m ming
聽聞,teng man
聽我說,teng ngo syut
聽聽,teng teng
聽話,teng waa
聽朝,teng ziu
聽朝早,teng ziu zou
聽講話,teng/ting gong waa
艇,teng
艇仔,teng zai
推,teoi
推車,teoi {ce geoi}
推測,teoi cak
推出,teoi ceot
推動,teoi dung
推翻,teoi faan
推廣,teoi gwong
推行,teoi hang
推開,teoi hoi
推人,teoi jan
推理,teoi lei
推論,teoi leon
推進,teoi zeon
推展,teoi zin
推薦,teoi zin
腿,teoi
退,teoi
退出,teoi ceot
退化,teoi faa
退婚,teoi fan
退學,teoi hok
退休,teoi jau
頹廢,teoi fai
盾,teon
推到,teui dou
推下,teui ha
推向,teui heung
推銷,teui siu
推銷員,teui siu yun
推入,teui yap
退殼,teui hok
退落,teui lok
退票,teui piu
退休人士,teui yau yan si
頹,teui
頹風,teui fung
頹然,teui yin
剔,tik
甜,tim
甜品,tim ban
甜蜜,tim mat
甜蜜的,tim mat dik
甜美,tim mei
甜味,tim mei
甜絲絲,tim si si
甜頭,tim tau*
甜甜,tim tim
天,tin
天長,tin cheung
天全,tin chyun
天晴,tin cing
天窗,tin coeng
天才,tin coi
天大,tin daai
天地,tin dei
天地會,tin dei wui
天妒英才,tin dou ying choi
天花,tin fa
天花板,tin faa baan
天份,tin fan
天方,tin fong
天腳底,tin goek dai
天蓋,tin goi
天公,tin gung
天公地道,tin gung dei dou
天光,tin gwong
天下,tin haa
天下第一,tin haa dai jat
天黑,tin hak
天口,tin hau
天後,tin hau
天氣,tin hei
天譴,tin hin
天河,tin ho
天河城,tin ho sing
天空,tin hung
天真地,tin jan dei
天意,tin ji
天然,tin jin
天橋,tin kiu
天馬行空,tin ma hang hung
天文,tin man
天文學上,tin man hok seung
天文台,tin man toi
天無絕人之路,tin mou zyut jan zi lou
天門,tin mun
天拿水,tin naa seoi
天涯,tin ngaai
天鵝,tin ngo
天棚,tin paang*
天生的,tin saang dik
天神,tin san
天生,tin sang
天水,tin seui
天使,tin si
天時,tin si
天仙,tin sin
天線,tin sin
天性,tin sing
天上,tin soeng
天旋地轉,tin syun dei jyun
天天,tin tin
天堂,tin tong
天主,tin zyu
天主教,tin zyu gaau
填,tin
田,tin
填表,tin biu
田地,tin dei
田雞,tin gai
填好,tin hou
聽覺,ting gok
聽日,ting jat
聽晚,ting maan
聽眾,ting zung
停,ting
庭,ting
停車,ting ce
停車場,ting ce coeng
停頓,ting deon
停電,ting din
庭訓,ting fan
停課,ting fo
停工,ting gung
停學,ting hok
庭院,ting jyun
停留,ting lau
庭審,ting sam
停用,ting yung
停止,ting zi
挺,ting
貼,tip
帖,tip
貼切地,tip chit dei
貼切,tip cit
貼紙,tip zi
貼士,tip* si*
鐵,tit
鐵板,tit baan
跌打藥,tit daa joek
鐵甲,tit gaap
鐵甲威龍,tit gaap wai lung
鐵罐,tit gun
鐵路,tit lou
鐵塔,tit taap
鐵蹄,tit tai
挑,tiu
挑燈,tiu dang
挑明,tiu ming
挑選,tiu syun
挑剔,tiu tik
挑戰,tiu zin
挑戰性,tiu zin sing
跳,tiu
跳出,tiu cheut
跳槽,tiu cou
跳動,tiu dung
跳起,tiu hei
跳海,tiu hoi
跳躍,tiu joek
跳轉,tiu jyun
跳級,tiu kap
跳樓,tiu lau*
跳樓貨,tiu lau* fo
跳舞,tiu mou
跳脫衣舞,tiu tyut yi mou
跳入,tiu yap
條氣唔順,tiu hei m seon
條約,tiu joek
條例,tiu lai
條理,tiu lei
條文,tiu man
條命,tiu meng
條女,tiu neoi*
調笑,tiu siu
調劑,tiu zai
調整,tiu zing
調節,tiu zit
拖,to
拖鞋,to haai
拖延,to jin
拖慢,to maan
唾,to
陀,to
佗,to
陀地,to dei*
妥,to
妥當,to dong
胎,toi
台,toi
檯,toi
抬,toi
颱,toi
臺,toi
台北,toi bak
臺詞,toi chi
台詞,toi ci
颱風,toi fung
台階,toi gaai
台鑒,toi gaam
台下,toi ha
抬起頭,toi hei tau
台型,toi jing
臺上,toi seung
抬頭,toi tau
台灣,toi waan
台姐,toi ze
檯布,toi* bou
殆,toi
托,tok
託,tok
托詞,tok chi
託詞,tok chi
湯,tong
劏,tong
劏房,tong fong*
劏開,tong hoi
湯丸,tong jyun*
劏死牛,tong sei ngau
劏豬,tong zyu
熨斗,tong dau
堂,tong
唐,tong
塘,tong
搪,tong
唐伯虎,tong baak fu
糖黐豆,tong ci dau*
唐突,tong dat
唐狗,tong gau
糖果,tong gwo
唐人街,tong jan gaai
唐僧,tong jang
糖尿病,tong niu beng
唐山,tong saan
糖水,tong seoi
滔,tou
滔滔,tou tou
討,tou
土產,tou caan
土地供應,tou dei gung ying
土地,tou dei/dei*
討價,tou ga
土人,tou jan
討厭,tou jim
討論,tou leun
土生,tou saang
土生土長的,tou saang tou cheung dik
土生土長,tou sang tou jeung
套,tou
吐,tou
兔,tou
套料,tou {liu liu}
套餐,tou caan
吐出,tou cheut
套票,tou piu
套衫,tou saam
兔子,tou zi
套裝,tou zong
圖,tou
逃,tou
途,tou
荼,tou
塗,tou
陶,tou
桃,tou
掏,tou
淘,tou
屠,tou
逃避,tou bei
逃避現實,tou bei yin sat
圖表,tou biu
淘寶,tou bou
逃出,tou ceot
陶瓷,tou ci
徒弟,tou dai [tou dai]
桃花,tou faa
桃花運,tou faa wan
途經,tou ging
途徑,tou ging
塗改,tou goi
掏古井,tou gu {zeng zing}
桃紅,tou hung
途人,tou jan
圖拉,tou laai
圖利,tou lei
圖案,tou on
逃生,tou sang
屠城,tou sing
圖書,tou syu
圖書館,tou syu gun
桃源,tou yun
桃園,tou yun
逃走,tou zau
陶醉,tou zeoi
途中,tou zung
肚,tou
肚臍,tou ci
肚腩,tou naam
肚餓,tou ngo
肚痛,tou tung
通,tung
通處,tung {cyu cyu syu}
通不過,tung bat gwo
通病,tung beng
通緝,tung cap
通緝犯,tung chap faan
通地,tung dei
通頂,tung deng
通電,tung din
通電話,tung din wa
通道,tung dou
通風報訊,tung fung bou seon
通街,tung gaai
通經,tung ging
通告,tung gou
通過,tung gwo
通行,tung haang
通行證,tung hang jing
通氣,tung hei
通融,tung jung
通用,tung jung
通量,tung leung
通路,tung lou
通水,tung seoi
通訊,tung seon
通訊設備,tung seun chit bei
通市,tung si
通勝,tung sing
通宵,tung siu
通常,tung soeng
通天,tung tin
通通,tung tung
通同,tung tung
通話,tung wa
通往,tung wong
通知,tung zi
桶,tung
統,tung
統一,tung jat
統統,tung tung
統治,tung zi
筒,tung|tung
痛,tung
痛處,tung chyu
痛楚,tung co
痛快,tung faai
痛苦,tung fu
痛哭,tung huk
痛心,tung sam
疼惜,tung sek
痛痛快快,tung tung faai faai
同,tung
銅,tung
童,tung
同病相憐,tung beng seung lin
同窗,tung cheung
同前,tung chin
同存,tung chyun
同情,tung cing
同大,tung daai
同德,tung dak
同等地,tung dang dei
同地,tung dei
同隊,tung deui
同道,tung dou
同化,tung fa
同方,tung fong
同價,tung gaa
同甘共苦,tung gam gung fu
同去,tung heui
同行,tung hong/haang
茼蒿,tung hou
同一,tung jat
同意,tung ji
同精神,tung jing san
童謠,tung jiu
同樣,tung joeng/joeng*
同軸,tung juk
同理,tung lei
同理心,tung lei sam
同類,tung leoi
銅鑼,tung lo
同撈同煲,tung lou tung bou
同路,tung lou
同路人,tung lou yan
同埋,tung maai
同文,tung man
同盟,tung mang
同盟會,tung mang wui
同面,tung min
童年,tung nin
同年,tung nin
同安,tung on
同世,tung sai
同心,tung sam
同相,tung seung
同上,tung seung
同時,tung si
同時發生,tung si faat saang
同事關係,tung si gwaan hai
同是天涯淪落人,tung si tin ngaai leon {lok laai} jan
同姓,tung sing
同性戀,tung sing lyun
同天,tung tin
同屋,tung uk
童話,tung waa
同位,tung wai
同一個,tung yat go
同一個夢想,tung yat go mung seung
同日,tung yat
同業,tung yip
同舟共濟,tung zau gung zai
童子,tung zi
同志,tung zi
團,tyun
臀,tyun
豚,tyun
團隊,tyun deui*
團結,tyun git
團圓,tyun jyun
團體,tyun tai
團聚,tyun zeoi
斷流,tyun lau
斷想,tyun seung
斷線,tyun sin
斷頭,tyun tau
斷正,tyun zeng
脫,tyut
脫軌,tyut gwai
脫身,tyut san
脫胎,tyut toi
脫脫,tyut tyut
脫衣,tyut yi
屋,uk
屋邨,uk cyun
屋村,uk cyun
屋架,uk ga
屋苑,uk jyun
屋企,uk kei*
屋企人,uk kei* jan
屋外,uk ngoi
㧬,ung
嘩嘩,wa wa
嘩,wa|wa
搲,wa|we
華貴,wa gwai
划過,wa gwo
華麗,wa lai
華生,wa saang
華盛,wa sing
嘩然,wa yin
話本,wa bun
話費,wa fai
話舊,wa gau
話匣子,wa haap ji
話卡,wa ka
華佗,wa to
畫家,wa* ga
划,waa faa
話,waa
畫面,waa min [waa min]
華埠,waa fau
華人,waa jan
華語,waa jyu
華僑,waa kiu
話,waa
話咁快,waa gam faai
話口未完,waa hau mei jyun
話劇,waa kek
畫廊,waa long [waa long]
話唔定,waa m ding
話我知,waa ngo zi
話晒,waa saai
話時話,waa si waa
話事,waa si
話題,waa tai
話齋,waa zaai
話之,waa zi
話知你,waa zi nei
畫展,waa* zin
懷恨,waai han
懷孕,waai jan
懷疑,waai ji
懷念,waai nim
懷安,waai on
懷抱,waai pou
懷疑地,waai yi dei
壞,waai
壞人,waai jan
壞了,waai liu
壞事,waai si
壞咗,waai zo
或,waak
劃,waak
劃清,waak ching
劃時代,waak si doi
或是,waak si
劃船機,waak syun gei
畫畫,waak waa*
劃一,waak yat
或者,waak ze
彎,waan
灣,waan
彎刀,waan dou
玩水,waan seoi
玩笑,waan* siu
還,waan
環,waan
頑,waan
環保,waan bou
還清,waan cing
還價,waan ga
還擊,waan gik
環境,waan ging
環顧,waan gu
頑固,waan gu
還可以,waan ho ji
環遊,waan jau
還有,waan jau
環繞,waan jiu / waan jiu
還要,waan jiu
還在,waan joi
還原,waan jyun
還給,waan kap
還禮,waan lai
頑皮,waan pei
環抱,waan pou
玩耍,waan saa
還手,waan sau
環頭,waan tau
還拖,waan to
玩謝,waan ze
環節,waan zit
玩嘢,waan* je
玩完,waan* jyun
玩死,waan* sei
挽,waan
挽救,waan gau
挽鞋,waan haai
挽回,waan wui
患,waan
宦,waan
幻,waan
患難,waan naan
幻想,waan soeng
患上,waan soeng
患者,waan ze
橫濱,waang ban
橫掂,waang dim
橫街,waang gaai
橫行,waang hong; waang hang
橫,waang|waang
猾,waat
滑稽,waat kai / gwat kai
威,wai
威風,wai fung
威脅,wai hip
威脅到,wai hip dou
威海,wai hoi
威力,wai lik
威武,wai mou
威尼斯,wai nei si
威尼斯人,wai nei si yan
威水,wai seoi
威爾,wai yi
毀,wai
委,"wai (wai in wai ji, ~蛇, carefree)"
委員,wai jyun
委員會,wai jyun wui*
毀滅,wai mit
委派,wai paai
猥瑣,wai so
萎縮,wai suk
委託,wai tok
委屈,wai wat
喂,wai
餵,wai
畏,wai
慰,wai
餵飽,wai baau
畏懼,wai geoi
慰藉,wai je
慰問,wai man
餵奶,wai naai
畏首畏尾,wai sau wai mei
維,wai
圍,wai
違,wai
惟,wai
為避免,wai bei min
違背,wai bui
為本,wai bun
遺產,wai caan
維持,wai ci
圍牆,wai coeng
遺傳,wai cyun
遺傳性,wai cyun sing
維多,wai do
維多利亞,wai do lei a
唯獨,wai duk
違反,wai faan
遺訓,wai fan
為非作歹,wai fei jok daai
為金錢,wai gam chin
圍巾,wai gan
為紀念,wai gei nim
圍觀,wai gun
遺憾,wai ham
遺棄,wai hei
為人,wai jan
唯一,wai jat
惟一,wai jat
唯有,wai jau
惟有,wai jau
